,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
142,apply,117,124,62,0.000366459,0.000142196,"<code object apply at 0x10aaa7480, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>","[_lsprof.profiler_subentry(code=<code object termArgs at 0x10ad30c30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=74, reccallcount=0, totaltime=9.1037e-05, inlinetime=2.5323e-05), _lsprof.profiler_subentry(code=<code object value at 0x10acde780, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 101>, callcount=50, reccallcount=0, totaltime=1.5626000000000003e-05, inlinetime=1.5626000000000003e-05), _lsprof.profiler_subentry(code=<code object apply at 0x10aaa7480, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>, callcount=62, reccallcount=0, totaltime=9.745700000000001e-05, inlinetime=4.583e-05), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=124, reccallcount=0, totaltime=2.8727e-05, inlinetime=2.8727e-05), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=74, reccallcount=0, totaltime=1.5585e-05, inlinetime=1.5585e-05), _lsprof.profiler_subentry(code=<code object termFunc at 0x10ad30b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=74, reccallcount=0, totaltime=7.328800000000001e-05, inlinetime=4.0201000000000004e-05)]"
181,termWeight,255,104,52,0.00015091800000000002,7.011900000000001e-05,"<code object termWeight at 0x10ad14b70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 255>","[_lsprof.profiler_subentry(code=<code object termArgs at 0x10ad30c30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=65, reccallcount=0, totaltime=5.5704e-05, inlinetime=2.5906000000000002e-05), _lsprof.profiler_subentry(code=<code object termWeight at 0x10ad14b70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 255>, callcount=51, reccallcount=0, totaltime=4.2503e-05, inlinetime=1.991e-05), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=103, reccallcount=0, totaltime=2.3887e-05, inlinetime=2.3887e-05)]"
167,addClause,67,102,0,5.4254000000000006e-05,3.5339e-05,"<code object addClause at 0x10acde450, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clausesets.py"", line 67>","[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=102, reccallcount=0, totaltime=1.8915e-05, inlinetime=1.8915e-05)]"
193,termEqual,173,87,0,0.00024686900000000004,7.9435e-05,"<code object termEqual at 0x10ad21930, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>","[_lsprof.profiler_subentry(code=<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=174, reccallcount=0, totaltime=4.1968e-05, inlinetime=4.1968e-05), _lsprof.profiler_subentry(code=<code object termFunc at 0x10ad30b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=174, reccallcount=0, totaltime=0.000125466, inlinetime=4.725e-05)]"
218,isPositive,190,84,0,1.1174e-05,1.1174e-05,"<code object isPositive at 0x10ad386c0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 190>",
175,setInferenceLit,196,84,0,1.2124000000000001e-05,1.2124000000000001e-05,"<code object setInferenceLit at 0x10ace1a70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 196>",
192,isPropFalse,223,84,0,0.00037209,7.821e-05,"<code object isPropFalse at 0x10ad212f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 223>","[_lsprof.profiler_subentry(code=<code object atomIsConstTrue at 0x10ad38300, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 113>, callcount=47, reccallcount=0, totaltime=0.00015670400000000002, inlinetime=2.0289000000000002e-05), _lsprof.profiler_subentry(code=<code object isNegative at 0x10ad385d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>, callcount=84, reccallcount=0, totaltime=8.838e-06, inlinetime=8.838e-06), _lsprof.profiler_subentry(code=<code object isPositive at 0x10ad386c0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 190>, callcount=84, reccallcount=0, totaltime=1.1174e-05, inlinetime=1.1174e-05), _lsprof.profiler_subentry(code=<code object atomIsConstFalse at 0x10ad383f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 120>, callcount=37, reccallcount=0, totaltime=0.000117164, inlinetime=1.4501e-05)]"
129,__init__,133,84,0,0.000145334,5.6409e-05,"<code object __init__ at 0x10a687480, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 133>","[_lsprof.profiler_subentry(code=<code object setInferenceLit at 0x10ace1a70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 196>, callcount=84, reccallcount=0, totaltime=1.2124000000000001e-05, inlinetime=1.2124000000000001e-05), _lsprof.profiler_subentry(code=<code object termFunc at 0x10ad30b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=84, reccallcount=0, totaltime=7.6801e-05, inlinetime=2.7755e-05)]"
150,LookLit,215,82,0,0.0013430800000000002,3.0162e-05,"<code object LookLit at 0x10aae1b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 215>","[_lsprof.profiler_subentry(code=<code object Look at 0x10aa67770, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 207>, callcount=82, reccallcount=0, totaltime=0.0013129180000000002, inlinetime=4.7259e-05)]"
158,__init__,174,78,0,1.1377000000000001e-05,1.1377000000000001e-05,"<code object __init__ at 0x10ab1b4b0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 174>",
